barrier_bps,year,horizon_min,valid_rows,ambiguous_rows,invalid_rows,short_rows,timeout_rows,long_rows,short_pct_valid,timeout_pct_valid,long_pct_valid
5,2019,30,437892,735,1680,135736,163801,138355,30.99759758113873,37.4067121573356,31.59569026152567
5,2020,30,433794,4835,1620,164422,100605,168767,37.90324439711015,23.191883705168813,38.90487189772104
5,2021,30,433881,1162,1560,155792,123787,154302,35.9066195569753,28.53017301979114,35.563207423233564
5,2022,30,434963,1398,1560,163056,110171,161736,37.48732650823173,25.32882107213717,37.183852419631094
5,2023,30,433892,907,1620,146279,140031,147582,33.71322817659694,32.273238501746974,34.013533321656084
5,2024,30,437436,1194,1740,155262,120565,161609,35.493649356705895,27.561746175440522,36.94460446785358
5,2025,30,434469,2776,1620,166510,97347,170612,38.32494378194992,22.405971427190433,39.26908479085965
5,2026,30,302798,7561,1410,124485,56854,121459,41.11156612659265,18.776213845533988,40.11222002787337
10,2019,30,438475,152,1680,69908,297914,70653,15.943440332972234,67.94321226979874,16.113347397229035
10,2020,30,437718,911,1620,122431,191675,123612,27.970291374812096,43.789608834911974,28.24009979027593
10,2021,30,434877,166,1560,94260,248848,91769,21.67509433701943,57.22261696985584,21.102288693124724
10,2022,30,436058,303,1560,104302,228251,103505,23.919295139637388,52.344183571910165,23.736521288452455
10,2023,30,434462,337,1620,79410,274834,80218,18.27777803352192,63.25846679341346,18.463755173064616
10,2024,30,438280,350,1740,95930,243954,98396,21.887834261202883,55.6616774664598,22.450488272337317
10,2025,30,436871,374,1620,123320,186403,127148,28.228012388096257,42.66774402512412,29.10424358677962
10,2026,30,308888,1471,1410,115591,82009,111288,37.421654450804176,26.549752661158738,36.02859288803709
15,2019,30,438559,68,1680,37156,364291,37112,8.472292211538242,83.06544843453219,8.462259353929575
15,2020,30,438290,339,1620,83292,272317,82681,19.003855894499075,62.1316936275069,18.864450477994023
15,2021,30,434949,94,1560,54390,330440,50119,12.504914369270882,75.97212546758355,11.522960163145564
15,2022,30,436222,139,1560,60575,315734,59913,13.886278087762651,72.37920141579288,13.734520496444471
15,2023,30,434579,220,1620,42731,349686,42162,9.832734669645795,80.46546197584328,9.701803354510917
15,2024,30,438374,256,1740,55330,328273,54771,12.621642706912361,74.88423127284008,12.49412602024755
15,2025,30,437086,159,1620,82106,271557,83423,18.784861560425178,62.128963178870976,19.086175260703843
15,2026,30,309972,387,1410,92470,129510,87992,29.831726736608466,41.78119314002555,28.387080123365983
20,2019,30,438543,84,1680,21157,396674,20712,4.824384381919219,90.45270361173249,4.722912006348294
20,2020,30,438555,74,1620,57095,326315,55145,13.018891587144143,74.40685888885089,12.574249524004971
20,2021,30,434963,80,1560,32282,374560,28121,7.421780703186248,86.11307168655725,6.465147610256504
20,2022,30,436310,51,1560,36311,365211,34788,8.32229378194403,83.70447617519653,7.973230042859434
20,2023,30,434667,132,1620,25047,385437,24183,5.762342206792787,88.67408844011622,5.563569353090987
20,2024,30,438457,173,1740,32726,374223,31508,7.463901819334621,85.34998871040946,7.1861094702559205
20,2025,30,437189,56,1620,55135,328360,53694,12.611250511792383,75.10710470757499,12.281644780632632
20,2026,30,310226,133,1410,69570,174584,66072,22.42558650790069,56.27639204966701,21.29802144243229
5,2019,60,435993,954,3360,161394,109034,165565,37.01756679579718,25.00819967293053,37.97423353127229
5,2020,60,431140,5869,3240,174049,77443,179648,40.36948554993737,17.962378809667392,41.668135640395235
5,2021,60,432072,1411,3120,171871,88419,171782,39.77832398303987,20.463950452702328,39.757725564257804
5,2022,60,432958,1843,3120,176382,82128,174448,40.73882455111119,18.969045496329898,40.29212995255891
5,2023,60,432073,1106,3240,165947,97821,168305,38.4071673073763,22.639924272055882,38.95290842056782
5,2024,60,435336,1554,3480,168543,89169,177624,38.7156127680688,20.482799492805555,40.80158773912564
5,2025,60,432280,3345,3240,174219,77652,180409,40.302350328490796,17.96335708337189,41.734292588137315
5,2026,60,300168,8781,2820,125417,50602,124149,41.78226859625276,16.857892913301882,41.35983849044535
10,2019,60,436697,250,3360,105795,222953,107949,24.226179708127145,51.05439240480242,24.71942788707044
10,2020,60,435659,1350,3240,152596,128366,154697,35.02647713004896,29.464787827176757,35.50873504277428
10,2021,60,433283,200,3120,130488,173656,129139,30.116113487028105,40.07911688203784,29.804769630934054
10,2022,60,434366,435,3120,140919,153897,139550,32.44245636168577,35.430259274436764,32.127284363877465
10,2023,60,432711,468,3240,116045,198272,118394,26.81813034565796,45.82088276008698,27.360986894255056
10,2024,60,436385,505,3480,129835,169114,137436,29.752397538870497,38.75339436506754,31.494208096061964
10,2025,60,435059,566,3240,152107,123696,159256,34.96238441222915,28.432005773929514,36.60560981384134
10,2026,60,307059,1890,2820,125943,58749,122367,41.015895967875885,19.132805096089026,39.85129893603509
15,2019,60,436809,138,3360,66589,302697,67523,15.244420330167191,69.2973359065404,15.458243763292423
15,2020,60,436454,555,3240,118070,199115,119269,27.052106292988494,45.62107346936905,27.32682023764246
15,2021,60,433365,118,3120,89491,257810,86064,20.650260173295027,59.49026801887555,19.85947180782943
15,2022,60,434565,236,3120,100032,236968,97565,23.01888094991543,54.52993223108166,22.45118681900291
15,2023,60,432818,361,3240,74033,283158,75627,17.104880111270788,65.42195564879464,17.47316423993457
15,2024,60,436444,446,3480,90211,253028,93205,20.66954752499748,57.974906288091944,21.355546186910576
15,2025,60,435340,285,3240,118872,191418,125050,27.30555427941379,43.96977075389351,28.7246749666927
15,2026,60,308436,513,2820,115875,82612,109949,37.56857176205112,26.78416267880533,35.64726555914355
20,2019,60,436801,146,3360,43194,351037,42570,9.88871362473987,80.36542956632425,9.745856808935876
20,2020,60,436913,96,3240,89212,258707,88994,20.41871036110164,59.21247479475319,20.368814844145174
20,2021,60,433368,115,3120,60717,316398,56253,14.01049454505178,73.00908235033505,12.98042310461317
20,2022,60,434687,114,3120,68475,299789,66423,15.752714021813397,68.96663576320434,15.280650214982275
20,2023,60,432942,237,3240,48908,335403,48631,11.296663294390473,77.4706542677772,11.23268243783232
20,2024,60,436574,316,3480,61159,313013,62402,14.008850733209034,71.69758162419201,14.293567642598964
20,2025,60,435511,114,3240,89394,252592,93525,20.526232402855495,57.99899428487455,21.474773312269953
20,2026,60,308786,163,2820,98981,115823,93982,32.05488590803987,37.509148730836245,30.435965361123884
