outer_fold,outer_validation_year,inner_validation_year,selected_horizon_min,selected_threshold,selected_iterations,evaluation_cost_bps,trades,longs,shorts,gross_sum,net_sum,compound_return,win_rate,profit_factor,max_drawdown,avg_trade_net
1,2022,2021,30,0.0002,8,0.0,57,1,56,0.015652855596272275,0.015652855596272275,0.015514037037445139,0.543859649122807,1.2795713446867214,-0.016697847713496805,0.0002746115016889873
1,2022,2021,30,0.0002,8,1.0,57,1,56,0.015652855596272275,0.009952855596272282,0.00974331361525027,0.543859649122807,1.1698765082314913,-0.01758412335149917,0.0001746115016889874
1,2022,2021,30,0.0002,8,2.0,57,1,56,0.015652855596272275,0.004252855596272269,0.0040048105992538385,0.5263157894736842,1.0694935980568063,-0.018469688853693822,7.461150168898718e-05
1,2022,2021,30,0.0002,8,5.0,57,1,56,0.015652855596272275,-0.012847144403727735,-0.013019138312118872,0.47368421052631576,0.8161871063841836,-0.025854302887722946,-0.0002253884983110129
2,2023,2022,5,0.0001,18,0.0,0,0,0,0.0,0.0,0.0,,,,
2,2023,2022,5,0.0001,18,1.0,0,0,0,0.0,0.0,0.0,,,,
2,2023,2022,5,0.0001,18,2.0,0,0,0,0.0,0.0,0.0,,,,
2,2023,2022,5,0.0001,18,5.0,0,0,0,0.0,0.0,0.0,,,,
3,2024,2023,30,0.0001,16,0.0,263,1,262,0.00746356074250798,0.00746356074250798,0.006608516541730891,0.5057034220532319,1.0304389958346858,-0.03959665973042592,2.8378557956304106e-05
3,2024,2023,30,0.0001,16,1.0,263,1,262,0.00746356074250798,-0.018836439257492,-0.01952091841527559,0.49049429657794674,0.9271143253552894,-0.056139561702405305,-7.162144204369582e-05
3,2024,2023,30,0.0001,16,2.0,263,1,262,0.00746356074250798,-0.04513643925749203,-0.04497460045707502,0.4524714828897338,0.8343365212851322,-0.07465052004531858,-0.00017162144204369592
3,2024,2023,30,0.0001,16,5.0,263,1,262,0.00746356074250798,-0.12403643925749207,-0.11745301756865978,0.3840304182509506,0.6105686034364047,-0.12947774853316574,-0.00047162144204369606
4,2025,2024,60,0.0005,13,0.0,135,4,131,0.023008446684343653,0.023008446684343653,0.022038163909934516,0.5259259259259259,1.1237300202047846,-0.03316794214557206,0.00017043293840254557
4,2025,2024,60,0.0005,13,1.0,135,4,131,0.023008446684343653,0.009508446684343669,0.008334759768514388,0.5037037037037037,1.0493909517525262,-0.034830764560713656,7.04329384025457e-05
4,2025,2024,60,0.0005,13,2.0,135,4,131,0.023008446684343653,-0.003991553315656336,-0.00518625313301313,0.5037037037037037,0.9799634838253528,-0.0376292834247931,-2.9567061597454344e-05
4,2025,2024,60,0.0005,13,5.0,135,4,131,0.023008446684343653,-0.044491553315656386,-0.04467888416432253,0.4444444444444444,0.7983721803807289,-0.05697183260971017,-0.0003295670615974547
