fold,validation_year,horizon_min,deadzone,best_iteration,train_rows,validation_rows,train_short_pct,train_flat_pct,train_long_pct,valid_short_pct,valid_flat_pct,valid_long_pct,accuracy,balanced_accuracy,macro_f1,short_precision,long_precision,short_recall,long_recall,nonflat_direction_accuracy,predicted_trade_coverage,trades_at_2bps,compound_return_at_2bps,win_rate_at_2bps,profit_factor_at_2bps,max_drawdown_at_2bps,cm_short_short,cm_short_flat,cm_short_long,cm_flat_short,cm_flat_flat,cm_flat_long,cm_long_short,cm_long_flat,cm_long_long
1,2022,5,0.0002,225,247621,412517,0.23214913113185068,0.5285254481647357,0.23932542070341367,0.25273867501218134,0.4959383492074266,0.2513229757803921,0.5331222713245757,0.43260479094761556,0.41919648778913715,0.38978301646481256,0.38199205606294434,0.16144409595334697,0.29127562093079334,0.22617753710311925,0.29631990924010404,28649,-0.9953754818443291,0.3808509895633355,0.5037924487392247,-0.9953751635774243,16832,59376,28051,10886,172892,20805,15465,58012,30198
1,2022,15,0.0002,201,247297,411997,0.3036106382204394,0.38165040416988477,0.3147389576096758,0.3248518799894174,0.3538229647303257,0.3213251552802569,0.48412973880877774,0.48187547707703615,0.4826539817554871,0.4053202074546303,0.40108404150588983,0.3439307222164109,0.5354836272991653,0.4391844431172363,0.704648334817972,20817,-0.9847925048187859,0.39587836864101456,0.5584114781344985,-0.9848106878066457,46031,20264,67543,24922,82539,38313,42614,18881,70890
1,2022,30,0.0002,197,246811,411217,0.33909347638476406,0.30782258489289377,0.35308393872234217,0.3614296101571676,0.2858563726694178,0.3527140171734145,0.4944323799842905,0.4951576104642193,0.5086460790193624,0.4255608531244862,0.4230677412578064,0.3831496508013403,0.6109195957033136,0.495644741681082,0.8347368907413847,11751,-0.882153494752541,0.4290698663943494,0.6728948807365644,-0.8823148980616131,56946,5405,86275,25225,57764,34560,51643,4790,88609
1,2022,60,0.0002,187,245839,409657,0.36798880568176734,0.24531502324692175,0.3866961710713109,0.3927407562912388,0.22836665796019598,0.37889258574856527,0.49865131073068447,0.49661253435451297,0.5200963089803619,0.4474651826402987,0.4384485971164457,0.3918105028932991,0.624600556643645,0.50611663845874,0.8836514449893448,6093,-0.6805847399643412,0.44116198916789756,0.744707778014763,-0.6820135566688744,63038,1715,96136,21230,44290,28032,56610,1658,96948
2,2023,5,0.0002,177,330124,410106,0.23769250342295623,0.5201348584168373,0.24217263816020645,0.21828746714264116,0.560703818037288,0.2210087148200709,0.5842855261810361,0.416858682181487,0.40570572493368734,0.37166300704957816,0.38340902338610416,0.14369812669652932,0.19933360548120524,0.1716881848155508,0.1992996932500378,19567,-0.9800378120979526,0.3702151581744774,0.4697224377668638,-0.9800454536512927,12864,59663,16994,9199,208688,12061,12549,60021,18067
2,2023,15,0.0002,143,329696,409566,0.30870862855478987,0.375036397165874,0.31625497427933613,0.2948438102772203,0.40735070782242666,0.29780548190035305,0.49212581122456456,0.4779025338850719,0.47940817263291285,0.37079879770470897,0.4015479325616252,0.43825667864654927,0.3887809397315755,0.41339518557733107,0.636820439196613,18846,-0.9723372140478025,0.3888358272312427,0.5360075968803494,-0.9725417462650277,52923,24419,43416,38365,101215,27257,51439,23112,47420
2,2023,30,0.0002,159,329054,408756,0.34469114491846325,0.30224218517325424,0.3530666699082825,0.33284404387947825,0.3304881151591659,0.33666784096135594,0.48825460666020803,0.48833978770560593,0.49932529901240214,0.39605834355794467,0.42501312018085663,0.5290918178343574,0.45901972895396576,0.4938556713085611,0.808249909481451,11393,-0.8698178513446411,0.4073553936627754,0.6320210187630446,-0.8698285580274755,71984,7313,56755,41961,64425,28703,67806,6641,63168
2,2023,60,0.0002,124,327770,407136,0.37426549104555024,0.24108978857125424,0.3846447203831955,0.36726793995126933,0.2608907097382693,0.3718413503104614,0.49526693782912834,0.48967464271747607,0.5112498140700269,0.42260660172623943,0.4526934884472451,0.5704149055695255,0.46266596208468197,0.5162070730232157,0.8757540477874715,6040,-0.6740738282819013,0.4347682119205298,0.7087780836188368,-0.6782565723910918,85293,2073,62162,37393,46305,22520,79140,2207,70043
3,2024,5,0.0002,189,412145,412002,0.23400016984313773,0.5281102524596926,0.23788957769716967,0.2388993257314285,0.512140717763506,0.2489599565050655,0.5472376347687633,0.42941310938377053,0.41767606554251985,0.3758505564387917,0.39348074149030077,0.24018815975291333,0.1781772803494131,0.20854332608619944,0.26540405143664353,25787,-0.9943554705845316,0.3771280102377167,0.4754389356432443,-0.9943666844767741,23641,58102,16684,15970,183546,11487,23289,61007,18276
3,2024,15,0.0002,186,411609,411422,0.30571488961611626,0.3817579304631337,0.31252717992075,0.3038923538362071,0.3722503901103976,0.32385725605339527,0.48853974750985607,0.4833884041072238,0.482029437403762,0.38782369012790446,0.40796920573095247,0.5131650510285696,0.3348793923837829,0.4211871297479382,0.6679443491111317,19691,-0.9794519768758473,0.3902290386470977,0.5580698610063436,-0.9794545060974871,64160,21128,39740,35925,92216,25011,65351,23271,44620
