fold,validation_year,horizon_min,barrier_return,best_iteration,train_rows,validation_rows,valid_short_pct,valid_timeout_pct,valid_long_pct,accuracy,balanced_accuracy,macro_f1,predicted_trade_coverage,trades_at_2bps,compound_return_at_2bps,profit_factor_at_2bps,win_rate_at_2bps
1,2022,15,0.0005,300,246122,410826,0.3350785977518463,0.33141524635733866,0.3335061558908151,0.5441135663273503,0.5447393567543032,0.5396205120156246,0.6367464571375716,19025,-0.975866066967716,0.5834428766132711,0.4012089356110381
1,2022,30,0.0005,295,245464,409819,0.39754867392678234,0.20796009945854146,0.3944912266146762,0.5473806729312208,0.5810914916482423,0.5886594810896216,0.8096305930178933,11526,-0.8980845426300201,0.6535069126821467,0.4191393371507895
1,2022,60,0.0005,295,244192,407814,0.4321308243463932,0.14028454148214628,0.42758463417146053,0.5506480895702452,0.6103349377461406,0.6236008822303055,0.8756884265866302,6069,-0.713751212556203,0.725928771860972,0.4366452463338277
2,2023,15,0.0005,147,328287,408783,0.28125191116068915,0.43541683484880733,0.2833312539905035,0.5676556999679536,0.5278389577011611,0.5240287393420854,0.5369866163710331,16419,-0.9715818502217798,0.509430531368354,0.3877215421158414
2,2023,30,0.0005,149,327428,407849,0.35807369884442525,0.28095937467052756,0.36096692648504713,0.5375592437397174,0.5485610166910916,0.5545722565065963,0.7659403357615195,11030,-0.9028723645586768,0.5839332916296114,0.3970988213961922
2,2023,60,0.0005,184,325755,406030,0.407913208383617,0.17870600694529962,0.4133807846710834,0.5406915745141985,0.5737757829648329,0.5893936947940236,0.8578060734428491,5975,-0.6688491283817032,0.709952482411169,0.43196652719665274
3,2024,15,0.0005,296,410044,410415,0.31596798362632944,0.35976511579742454,0.324266900576246,0.55340326255132,0.5441207115629135,0.5322447672213936,0.5969567389106148,18033,-0.9761936436829226,0.5551519961189149,0.3915599179282427
3,2024,30,0.0005,272,408998,409358,0.37724192516086164,0.2303460540651459,0.39241202077399245,0.5459524426052502,0.5789629787795313,0.5761895087083022,0.7685864206880041,11121,-0.8772799513376311,0.6573986381821374,0.4189371459401133
3,2024,60,0.0005,227,406961,407258,0.41149345132569526,0.15513261863487027,0.4333739300394345,0.5508792951887992,0.6078407152498255,0.6101234053178906,0.8496677781651926,5944,-0.689135921120504,0.7249600466608669,0.4332099596231494
4,2025,15,0.0005,300,492127,409479,0.36466338933132103,0.2643310157541657,0.37100559491451335,0.5385892805247644,0.5579897939866673,0.552919615135878,0.7513376754363471,21731,-0.9866939415320101,0.6212680237753812,0.4039850904238185
4,2025,30,0.0005,300,490870,408366,0.4076318792455787,0.17488478472742588,0.4174833360269954,0.5493993133610535,0.5990958675359965,0.6075044301149031,0.8390341017616549,11733,-0.9261463184281525,0.676956427512632,0.42614847012699225
4,2025,60,0.0005,294,488413,406177,0.4288081304455939,0.12734842199336743,0.44384344756103866,0.5533400463344798,0.6364931348075974,0.6351243692021307,0.8721099422173092,6026,-0.7370024974233034,0.7581202269210465,0.4510454696315964
