horizon_min,validation_year,train_rows,val_rows,purged_rows,best_iteration,accuracy,balanced_accuracy,roc_auc,actual_up_pct,pred_up_pct
15,2022,128908,43073,0,17,0.5025421958071181,0.5045176578629745,0.5152997008072135,0.49664523019060663,0.7943955610243075
15,2023,171981,42857,0,42,0.5083650278834263,0.5087111160209747,0.5133859229732127,0.496441654805516,0.5485684952283174
15,2024,214838,42993,0,15,0.5098271811690275,0.5090222237537447,0.5131557210398401,0.507524480729421,0.5536250087223501
15,2025,257831,42874,0,20,0.5095862294164295,0.5089775248972818,0.5153407502218225,0.518356113262117,0.5169100153939451
30,2022,128908,43073,0,17,0.501938569405428,0.5041836225872952,0.514067100371344,0.49587908898846145,0.7723631973626169
30,2023,171981,42857,0,14,0.5119817066056886,0.512499785974875,0.5168498251327072,0.4982616608722029,0.6489721632405442
30,2024,214838,42993,0,1,0.5119670644058335,0.5,0.4931945687367233,0.5119670644058335,1.0
30,2025,257831,42874,0,17,0.5222745720016794,0.5175416647582063,0.5225107377698905,0.5274758594952652,0.587092410318608
60,2022,128908,43073,0,10,0.49471826898521115,0.4987541696203825,0.5175314685147316,0.4953218953869013,0.9313723214078425
60,2023,171981,42857,0,43,0.5185850619502065,0.5196205973312787,0.5224814540876884,0.4918216394054647,0.5629885432951444
60,2024,214838,42993,0,1,0.522154769381062,0.49946269726033865,0.5152582198262036,0.5229223361942642,0.9949526667131858
60,2025,257831,42874,0,10,0.5317208564631245,0.5170745556111132,0.5248977463680631,0.532653822829687,0.7253813500023324
