horizon_min,validation_year,feature,auc,advantage_abs,n
15,2022,return_1m,0.4955972688414595,0.004402731158540507,43073
15,2022,return_5m,0.48871744061758765,0.01128255938241235,43073
15,2022,return_15m,0.4870922744295584,0.01290772557044162,43073
15,2022,return_30m,0.48671473342455196,0.01328526657544804,43073
15,2022,return_60m,0.4850167362673638,0.014983263732636198,43073
15,2022,candle_range,0.5066300491984527,0.00663004919845267,43073
15,2022,body,0.4957344120208102,0.0042655879791898,43073
15,2022,abs_body,0.49963307887535097,0.00036692112464903337,43073
15,2022,upper_wick,0.5060999456507058,0.006099945650705818,43073
15,2022,lower_wick,0.5064815907958524,0.006481590795852421,43073
15,2022,body_range_ratio,0.4951226601248117,0.004877339875188291,43073
15,2022,upper_wick_ratio,0.5034411344656629,0.003441134465662854,43073
15,2022,lower_wick_ratio,0.5031972750182605,0.0031972750182605036,43073
15,2022,volatility_15m,0.5103858257837853,0.01038582578378533,43073
15,2022,volatility_30m,0.508714405817791,0.008714405817791038,43073
15,2022,volatility_60m,0.5066667762397699,0.006666776239769856,43073
15,2022,volatility_240m,0.5027820367260409,0.0027820367260409373,43073
15,2022,momentum_5m,0.48865427653170607,0.011345723468293933,43073
15,2022,momentum_15m,0.487090160371556,0.012909839628443998,43073
15,2022,momentum_30m,0.48679796003946113,0.01320203996053887,43073
15,2022,momentum_60m,0.48505330267908264,0.014946697320917357,43073
15,2022,sma_15,0.5054511896542844,0.005451189654284372,43073
15,2022,sma_60,0.5056917976998841,0.005691797699884149,43073
15,2022,sma_240,0.5057027291369793,0.005702729136979334,43073
15,2022,distance_sma_15,0.48634963851828944,0.01365036148171056,43073
15,2022,distance_sma_60,0.48402953262918835,0.015970467370811647,43073
15,2022,distance_sma_240,0.49188282580934806,0.008117174190651943,43073
15,2022,sma_15_slope,0.4893912408166873,0.010608759183312721,43073
15,2022,sma_60_slope,0.4964975718669329,0.0035024281330671148,43073
15,2022,sma_240_slope,0.5105145116530758,0.01051451165307582,43073
15,2022,rolling_high_60,0.5058128164704941,0.005812816470494142,43073
15,2022,rolling_low_60,0.5055254361044005,0.005525436104400483,43073
15,2022,rolling_high_240,0.5056350048953865,0.005635004895386486,43073
15,2022,rolling_low_240,0.5055729695288973,0.005572969528897298,43073
15,2022,distance_high_60,0.48408446687376977,0.01591553312623023,43073
15,2022,distance_low_60,0.4889808763930187,0.011019123606981318,43073
15,2022,distance_high_240,0.49275888131182904,0.0072411186881709555,43073
15,2022,distance_low_240,0.49382629733433003,0.006173702665669967,43073
15,2022,hour_sin,0.5020658324690814,0.00206583246908143,43073
15,2022,hour_cos,0.49778637967603756,0.0022136203239624397,43073
15,2022,minute_sin,0.49938020692162555,0.0006197930783744532,43073
15,2022,minute_cos,0.4984652585733773,0.0015347414266226878,43073
15,2023,return_1m,0.49156236211970866,0.008437637880291338,42857
15,2023,return_5m,0.49014071659564135,0.009859283404358654,42857
15,2023,return_15m,0.49024222972483533,0.009757770275164668,42857
15,2023,return_30m,0.4942741394303176,0.005725860569682384,42857
15,2023,return_60m,0.49156164667870417,0.008438353321295833,42857
15,2023,candle_range,0.5087612709399781,0.008761270939978139,42857
15,2023,body,0.49155378009450856,0.008446219905491437,42857
15,2023,abs_body,0.5035475997034882,0.003547599703488169,42857
15,2023,upper_wick,0.507572562988624,0.007572562988623965,42857
15,2023,lower_wick,0.5040778667172219,0.0040778667172218785,42857
15,2023,body_range_ratio,0.4963540712609209,0.003645928739079096,42857
15,2023,upper_wick_ratio,0.5051186678581712,0.005118667858171166,42857
15,2023,lower_wick_ratio,0.5004898277182344,0.0004898277182343591,42857
15,2023,volatility_15m,0.5120038042034548,0.012003804203454815,42857
15,2023,volatility_30m,0.5101902353057369,0.010190235305736928,42857
15,2023,volatility_60m,0.5082070818440727,0.008207081844072706,42857
15,2023,volatility_240m,0.5081554949541089,0.008155494954108944,42857
15,2023,momentum_5m,0.49022833797309356,0.009771662026906436,42857
15,2023,momentum_15m,0.4903079490247783,0.009692050975221689,42857
15,2023,momentum_30m,0.49426704491259416,0.005732955087405844,42857
15,2023,momentum_60m,0.4916111808954663,0.008388819104533707,42857
15,2023,sma_15,0.5009980750477185,0.0009980750477185385,42857
15,2023,sma_60,0.5011436449686325,0.0011436449686325068,42857
15,2023,sma_240,0.5009515125790558,0.000951512579055791,42857
15,2023,distance_sma_15,0.48945093781749194,0.010549062182508062,42857
15,2023,distance_sma_60,0.49122926389531696,0.008770736104683041,42857
15,2023,distance_sma_240,0.4954076789308805,0.004592321069119498,42857
15,2023,sma_15_slope,0.49671272826128915,0.0032872717387108508,42857
15,2023,sma_60_slope,0.49702432949805553,0.002975670501944472,42857
15,2023,sma_240_slope,0.5017861284138938,0.001786128413893806,42857
15,2023,rolling_high_60,0.5014782176330852,0.0014782176330851993,42857
15,2023,rolling_low_60,0.5008672887296616,0.000867288729661575,42857
15,2023,rolling_high_240,0.5016609164375447,0.001660916437544735,42857
15,2023,rolling_low_240,0.5002654514806466,0.00026545148064660573,42857
15,2023,distance_high_60,0.48674269633175604,0.013257303668243958,42857
15,2023,distance_low_60,0.4949267218099409,0.005073278190059094,42857
15,2023,distance_high_240,0.488777748123456,0.01122225187654402,42857
15,2023,distance_low_240,0.5001178179970179,0.00011781799701793272,42857
15,2023,hour_sin,0.5057059273161247,0.005705927316124737,42857
15,2023,hour_cos,0.4982861637960996,0.0017138362039004207,42857
15,2023,minute_sin,0.5022926421329075,0.002292642132907474,42857
15,2023,minute_cos,0.5036015158602838,0.0036015158602837882,42857
15,2024,return_1m,0.49302757177861245,0.00697242822138755,42993
15,2024,return_5m,0.4878737222314551,0.012126277768544913,42993
15,2024,return_15m,0.48257859946753523,0.01742140053246477,42993
15,2024,return_30m,0.48892554670413435,0.01107445329586565,42993
15,2024,return_60m,0.4910718552150126,0.00892814478498738,42993
15,2024,candle_range,0.504553408884246,0.004553408884246046,42993
15,2024,body,0.49321821242773134,0.0067817875722686605,42993
15,2024,abs_body,0.5057182162156523,0.005718216215652272,42993
15,2024,upper_wick,0.49852425197977307,0.0014757480202269302,42993
15,2024,lower_wick,0.5010858096992681,0.001085809699268081,42993
15,2024,body_range_ratio,0.5031998039978194,0.0031998039978193837,42993
15,2024,upper_wick_ratio,0.49653997882140943,0.0034600211785905666,42993
15,2024,lower_wick_ratio,0.4981853661748531,0.0018146338251469052,42993
15,2024,volatility_15m,0.5026892442050113,0.0026892442050112653,42993
15,2024,volatility_30m,0.5040036560147011,0.004003656014701096,42993
15,2024,volatility_60m,0.5035326042371987,0.0035326042371987,42993
15,2024,volatility_240m,0.5035858180326942,0.003585818032694199,42993
15,2024,momentum_5m,0.4877822461055086,0.012217753894491423,42993
